T271C 3960:381 SEGGER J-Link V6.40 Log File (0001ms, 6629ms total)
T271C 3960:381 DLL Compiled: Oct 26 2018 15:06:12 (0001ms, 6629ms total)
T271C 3960:381 Logging started @ 2022-09-24 00:08 (0001ms, 6629ms total)
T271C 3960:382 JLINK_SetWarnOutHandler(...) (0000ms, 6629ms total)
T271C 3960:382 JLINK_EMU_SelectByUSBSN(SerialNo = 480045312)  returns 0x00 (0001ms, 6630ms total)
T271C 3960:383 JLINK_OpenEx(...)
Firmware: J-Link OB-SAM3U128 V1 compiled Feb  2 2021 16:46:37
Hardware: V1.00
S/N: 480045312
TELNET listener socket opened on port 19021WEBSRV 
Starting webserver (0055ms, 6685ms total)
T271C 3960:383 WEBSRV Webserver running on local port 19080 (0055ms, 6685ms total)
T271C 3960:383   returns O.K. (0055ms, 6685ms total)
T271C 3960:438 JLINK_SetInitRegsOnReset(OFF)  returns 0x01 (0000ms, 6685ms total)
T271C 3960:438 JLINK_GetEmuCaps()  returns 0xB9FE5BBF (0000ms, 6685ms total)
T271C 3960:438 JLINK_GetHWStatus(...)  returns 0x00 (0000ms, 6685ms total)
T271C 3960:438 JLINK_SetSpeed(100) (0000ms, 6685ms total)
T271C 3960:438 JLINK_GetEmuCaps()  returns 0xB9FE5BBF (0000ms, 6685ms total)
T271C 3960:438 JLINK_TIF_GetAvailable(...) (0000ms, 6685ms total)
T271C 3960:438 JLINK_SelectDeviceFamily(6) (0000ms, 6685ms total)
T271C 3960:438 JLINK_ClrError() (0000ms, 6685ms total)
T271C 3960:438 JLINK_TIF_Select(JLINKARM_TIF_SWD)  returns 0x00 (0001ms, 6686ms total)
T271C 3960:439 JLINK_Connect() >0x10B TIF>Found SW-DP with ID 0x0BC11477 >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x28 TIF>Scanning AP map to find all available APs >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF>AP[1]: Stopped AP scan as end of AP map has been reachedAP[0]: AHB-AP (IDR: 0x04770031)
Iterating through AP map to find AHB-AP to use >0x42 TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF> >0x42 TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF>AP[0]: Core foundAP[0]: AHB-AP ROM base: 0xE00FF000 >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x28 TIF> >0x0D TIF> >0x21 TIF> >0x0D TIF> >0x21 TIF>CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)Found Cortex-M0 r0p1, Little endian.
 -- Max. mem block: 0x00005828 -- CPU_ReadMem(4 bytes @ 0xE000EDF0) -- CPU_WriteMem(4 bytes @ 0xE000EDF0) -- CPU_ReadMem(4 bytes @ 0xE0002000)FPUnit: 4 code (BP) slots and 0 literal slots -- CPU_ReadMem(4 bytes @ 0xE000EDFC) -- CPU_WriteMem(4 bytes @ 0xE000EDFC) -- CPU_ReadMem(4 bytes @ 0xE0001000) -- CPU_WriteMem(4 bytes @ 0xE0001000)CoreSight components:ROMTbl[0] @ E00FF000 -- CPU_ReadMem(16 bytes @ 0xE00FF000) -- CPU_ReadMem(16 bytes @ 0xE000EFF0) -- CPU_ReadMem(16 bytes @ 0xE000EFE0)
ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS -- CPU_ReadMem(16 bytes @ 0xE0001FF0) -- CPU_ReadMem(16 bytes @ 0xE0001FE0)ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT -- CPU_ReadMem(16 bytes @ 0xE0002FF0) -- CPU_ReadMem(16 bytes @ 0xE0002FE0)ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB  returns 0x00 (0179ms, 6865ms total)
T271C 3960:618 JLINK_CORE_GetFound()  returns 0x60000FF (0000ms, 6865ms total)
T271C 3960:619 JLINK_GetIdData(...) >0x0D TIF> >0x21 TIF> ScanLen=4 NumDevices=1 aId[0]=0x0BC11477 aIrRead[0]=0 aScanLen[0]=0 aScanRead[0]=0 (0000ms, 6865ms total)
T271C 3960:619 JLINK_JTAG_GetDeviceID(DeviceIndex = 0)  returns 0x00 (0000ms, 6865ms total)
T271C 3960:619 JLINK_GetDeviceFamily()  returns 6 (0000ms, 6865ms total)
T271C 3960:619 JLINK_SetSpeed(2000) (0000ms, 6865ms total)
T271C 3960:620 JLINK_GetHWStatus(...)  returns 0x00 (0000ms, 6865ms total)
T271C 3960:620 JLINK_ReadMemHW(0x50003200, 0x0001 Bytes, ...) -- CPU_ReadMem(1 bytes @ 0x50003200) - Data: 32  returns 0x00 (0000ms, 6865ms total)
T2CC8 4010:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6874ms total)
T2CC8 4013:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6874ms total)
T2CC8 4016:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6874ms total)
T2CC8 4019:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6874ms total)
T2C1C 4020:227 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6875ms total)
T2CC8 4022:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6875ms total)
T2CC8 4025:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6875ms total)
T2CC8 4028:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6875ms total)
T2C1C 4030:227 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6875ms total)
T2CC8 4031:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6875ms total)
T2CC8 4034:441 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6875ms total)
T2CC8 4037:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6875ms total)
T2C1C 4040:226 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6876ms total)
T2CC8 4040:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6877ms total)
T2CC8 4043:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6877ms total)
T2CC8 4046:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6877ms total)
T2CC8 4049:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6877ms total)
T2C1C 4050:227 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6877ms total)
T2CC8 4052:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6878ms total)
T2CC8 4055:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6878ms total)
T2CC8 4058:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6878ms total)
T2C1C 4060:228 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6878ms total)
T2CC8 4061:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6878ms total)
T2CC8 4064:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6878ms total)
T2CC8 4067:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6879ms total)
T2C1C 4070:226 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6880ms total)
T2CC8 4070:441 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6880ms total)
T2CC8 4073:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6880ms total)
T2CC8 4076:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6880ms total)
T2CC8 4079:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6880ms total)
T2C1C 4080:227 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6881ms total)
T2CC8 4082:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6881ms total)
T2CC8 4085:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6881ms total)
T2CC8 4088:439 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6882ms total)
T2C1C 4090:227 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0001ms, 6883ms total)
T2CC8 4091:440 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6883ms total)
T2C1C 4100:227 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 480045312  returns 0x01 (0000ms, 6883ms total)
