[WARNING  Support Packages Updater@22-09-22 22:58:19] Cannot contact Dialog Support Package server. Cannot check for updates.
[INFO     Flash Code@22-09-22 22:59:13] Verification succeeded. 32768 bytes read for verification.
[INFO     Flash Code@22-09-22 22:59:13] Reading memory to refresh table contents...
[INFO     Flash Code@22-09-22 22:59:14] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 22:59:14] Read 16384 bytes from offset 0x4000
[INFO     Flash Code@22-09-22 22:59:14] Reading has finished. Read 32768 bytes.
[INFO     SPI Flash Programmer@22-09-22 23:00:30] Copying file: D:\User\dropbox_nsel16zp\ZERDLab Dropbox\CurrentProject\SoundSensor\Firmware\git_SS\SoundSensor_SPS_DA\projects\target_apps\dsps\dsps_device\Keil_5\SoundSensor_Fix\SS_Fix.hex to C:\Users\RD\AppData\Local\Temp\\input1.hex.
[INFO     SPI Flash Programmer@22-09-22 23:00:30] Converting file input1.hex to bin.
[INFO     Flash Code@22-09-22 23:00:30] Read 24984 bytes from file C:\Users\RD\AppData\Local\Temp\\input1.bin.
[INFO     Flash Code@22-09-22 23:00:34] Started burning memory with 24984 bytes of data at address 0x00.
[INFO     Flash Code@22-09-22 23:00:35] Write 16384 bytes at offset 0x00
[INFO     Flash Code@22-09-22 23:00:35] Write 8600 bytes at offset 0x4000
[INFO     Flash Code@22-09-22 23:00:35] Memory burning completed successfully.
[INFO     Flash Code@22-09-22 23:00:35] Reading memory to refresh table contents....
[INFO     Flash Code@22-09-22 23:00:36] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 23:00:36] Read 8600 bytes from offset 0x4000
[INFO     Flash Code@22-09-22 23:00:36] Reading has finished. Read 24984 bytes.
[INFO     Flash Code@22-09-22 23:00:36] Send reset command. If application won't start replug the board.
[INFO     General@22-09-22 23:04:52] Found SW-DP with ID 0x0BC11477
[INFO     General@22-09-22 23:04:52] Scanning AP map to find all available APs
[INFO     General@22-09-22 23:04:52] AP[1]: Stopped AP scan as end of AP map has been reached
[INFO     General@22-09-22 23:04:52] AP[0]: AHB-AP (IDR: 0x04770031)
[INFO     General@22-09-22 23:04:52] Iterating through AP map to find AHB-AP to use
[INFO     General@22-09-22 23:04:52] AP[0]: Core found
[INFO     General@22-09-22 23:04:52] AP[0]: AHB-AP ROM base: 0xE00FF000
[INFO     General@22-09-22 23:04:52] CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)
[INFO     General@22-09-22 23:04:52] Found Cortex-M0 r0p1, Little endian.
[INFO     General@22-09-22 23:04:53] FPUnit: 4 code (BP) slots and 0 literal slots
[INFO     General@22-09-22 23:04:53] CoreSight components:
[INFO     General@22-09-22 23:04:53] ROMTbl[0] @ E00FF000
[INFO     General@22-09-22 23:04:53] ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS
[INFO     General@22-09-22 23:04:53] ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT
[INFO     General@22-09-22 23:04:53] ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB
[INFO     General@22-09-22 23:04:53] BTLE device selected.
[INFO     General@22-09-22 23:04:53] Found SW-DP with ID 0x0BC11477
[INFO     General@22-09-22 23:04:53] Scanning AP map to find all available APs
[INFO     General@22-09-22 23:04:53] AP[1]: Stopped AP scan as end of AP map has been reached
[INFO     General@22-09-22 23:04:53] AP[0]: AHB-AP (IDR: 0x04770031)
[INFO     General@22-09-22 23:04:53] Iterating through AP map to find AHB-AP to use
[INFO     General@22-09-22 23:04:53] AP[0]: Core found
[INFO     General@22-09-22 23:04:53] AP[0]: AHB-AP ROM base: 0xE00FF000
[INFO     General@22-09-22 23:04:53] CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)
[INFO     General@22-09-22 23:04:53] Found Cortex-M0 r0p1, Little endian.
[INFO     General@22-09-22 23:04:53] FPUnit: 4 code (BP) slots and 0 literal slots
[INFO     General@22-09-22 23:04:53] CoreSight components:
[INFO     General@22-09-22 23:04:53] ROMTbl[0] @ E00FF000
[INFO     General@22-09-22 23:04:53] ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS
[INFO     General@22-09-22 23:04:53] ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT
[INFO     General@22-09-22 23:04:53] ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB
[INFO     General@22-09-22 23:04:53] BTLE device selected.
[INFO     Flash Code@22-09-22 23:04:55] Found SW-DP with ID 0x0BC11477
[INFO     Flash Code@22-09-22 23:04:55] AP map detection skipped. Manually configured AP map found.
[INFO     Flash Code@22-09-22 23:04:55] AP[0]: AHB-AP (IDR: Not set)
[INFO     Flash Code@22-09-22 23:04:55] AP[0]: Core found
[INFO     Flash Code@22-09-22 23:04:55] AP[0]: AHB-AP ROM base: 0xE00FF000
[INFO     Flash Code@22-09-22 23:04:55] CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)
[INFO     Flash Code@22-09-22 23:04:55] Found Cortex-M0 r0p1, Little endian.
[INFO     Flash Code@22-09-22 23:04:56] FPUnit: 4 code (BP) slots and 0 literal slots
[INFO     Flash Code@22-09-22 23:04:56] CoreSight components:
[INFO     Flash Code@22-09-22 23:04:56] ROMTbl[0] @ E00FF000
[INFO     Flash Code@22-09-22 23:04:56] ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS
[INFO     Flash Code@22-09-22 23:04:56] ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT
[INFO     Flash Code@22-09-22 23:04:56] ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB
[INFO     Flash Code@22-09-22 23:04:56] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 23:04:56] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     Flash Code@22-09-22 23:04:56] Firmware File C:\Program Files\SmartSnippetsToolbox\SmartSnippetsToolbox5.0.20\common_resources\SupportPackages\DA1453x\toolbox_resources/common/jtag_programmer_531.bin has been selected for downloading.
[INFO     Flash Code@22-09-22 23:04:56] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 23:04:56] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     Flash Code@22-09-22 23:04:56] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 23:04:56] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     SPI Flash Programmer@22-09-22 23:04:56] Successfully configured SPI ports and pins.
[INFO     Flash Code@22-09-22 23:04:56] Successfully downloaded firmware file to the board.
[INFO     Flash Code@22-09-22 23:04:58] Started reading 24984 bytes from memory.
[INFO     Flash Code@22-09-22 23:04:59] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 23:04:59] Read 8600 bytes from offset 0x4000
[INFO     Flash Code@22-09-22 23:04:59] Reading has finished. Read 24984 bytes.
[INFO     Flash Code@22-09-22 23:05:01] Started erasing from 0x00 to 0x6198 (7 sectors)
[INFO     Flash Code@22-09-22 23:05:02] Memory erasing completed successfully.
[INFO     Flash Code@22-09-22 23:05:02] Reading memory to verify its contents after erase...
[INFO     Flash Code@22-09-22 23:05:02] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 23:05:03] Read 8600 bytes from offset 0x4000
[INFO     Flash Code@22-09-22 23:05:03] Verification succeeded. 24984 bytes read for verification.
[INFO     Flash Code@22-09-22 23:05:03] Reading memory to refresh table contents...
[INFO     Flash Code@22-09-22 23:05:03] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 23:05:04] Read 8600 bytes from offset 0x4000
[INFO     Flash Code@22-09-22 23:05:04] Reading has finished. Read 24984 bytes.
[INFO     SPI Flash Programmer@22-09-22 23:07:14] Copying file: D:\User\dropbox_nsel16zp\ZERDLab Dropbox\CurrentProject\SoundSensor\Firmware\git_SS\SoundSensor_SPS_DA\projects\target_apps\dsps\dsps_device\Keil_5\SoundSensor_Fix\SS_Fix.hex to C:\Users\RD\AppData\Local\Temp\\input1.hex.
[INFO     SPI Flash Programmer@22-09-22 23:07:14] Converting file input1.hex to bin.
[INFO     SPI Flash Programmer@22-09-22 23:07:14] Executing: mkimage.exe single C:\Users\RD\AppData\Local\Temp\\input1.bin C:\Program Files\SmartSnippetsToolbox\SmartSnippetsToolbox5.0.20\common_resources\SupportPackages\DA1453x\toolbox_resources\common\sdk_version.h C:\Users\RD\AppData\Local\Temp\\image.img
[INFO     Flash Code@22-09-22 23:07:14] Read 25040 bytes from file C:\Users\RD\AppData\Local\Temp\\image.img.
[INFO     Flash Code@22-09-22 23:07:28] Started burning memory with 25040 bytes of data at address 0x00.
[INFO     Flash Code@22-09-22 23:07:29] Write 16384 bytes at offset 0x00
[INFO     Flash Code@22-09-22 23:07:29] Write 8656 bytes at offset 0x4000
[INFO     Flash Code@22-09-22 23:07:29] Memory burning completed successfully.
[INFO     Flash Code@22-09-22 23:07:29] Reading memory to refresh table contents....
[INFO     Flash Code@22-09-22 23:07:30] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 23:07:30] Read 8656 bytes from offset 0x4000
[INFO     Flash Code@22-09-22 23:07:30] Reading has finished. Read 25040 bytes.
[INFO     Flash Code@22-09-22 23:16:16] Started erasing from 0x00 to 0x61D0 (7 sectors)
[ERROR    Flash Code@22-09-22 23:16:17] Failed clearing memory address 7FC3C08.
[ERROR    Flash Code@22-09-22 23:16:17] Memory erasing failed.
[INFO     Flash Code@22-09-22 23:16:27] Found SW-DP with ID 0x0BC11477
[INFO     Flash Code@22-09-22 23:16:27] AP map detection skipped. Manually configured AP map found.
[INFO     Flash Code@22-09-22 23:16:27] AP[0]: AHB-AP (IDR: Not set)
[INFO     Flash Code@22-09-22 23:16:27] AP[0]: Core found
[INFO     Flash Code@22-09-22 23:16:27] AP[0]: AHB-AP ROM base: 0xE00FF000
[INFO     Flash Code@22-09-22 23:16:27] CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)
[INFO     Flash Code@22-09-22 23:16:27] Found Cortex-M0 r0p1, Little endian.
[INFO     Flash Code@22-09-22 23:16:27] FPUnit: 4 code (BP) slots and 0 literal slots
[INFO     Flash Code@22-09-22 23:16:27] CoreSight components:
[INFO     Flash Code@22-09-22 23:16:27] ROMTbl[0] @ E00FF000
[INFO     Flash Code@22-09-22 23:16:27] ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS
[INFO     Flash Code@22-09-22 23:16:27] ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT
[INFO     Flash Code@22-09-22 23:16:27] ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB
[INFO     Flash Code@22-09-22 23:16:27] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 23:16:27] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     Flash Code@22-09-22 23:16:27] Firmware File C:\Program Files\SmartSnippetsToolbox\SmartSnippetsToolbox5.0.20\common_resources\SupportPackages\DA1453x\toolbox_resources/common/jtag_programmer_531.bin has been selected for downloading.
[INFO     Flash Code@22-09-22 23:16:27] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 23:16:27] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     Flash Code@22-09-22 23:16:28] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 23:16:28] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     SPI Flash Programmer@22-09-22 23:16:28] Successfully configured SPI ports and pins.
[INFO     Flash Code@22-09-22 23:16:28] Successfully downloaded firmware file to the board.
[INFO     Flash Code@22-09-22 23:16:29] Started erasing from 0x00 to 0x61D0 (7 sectors)
[ERROR    Flash Code@22-09-22 23:16:29] Memory erasing failed.
